mcp_match_id,mcp_date,mcp_tournament,mcp_round,mcp_surface,mcp_best_of,mcp_players,status,method,candidate_count,candidate_context_ids,context_match_id,context_tournament_date,context_tournament,context_round,context_surface,context_best_of,context_players,context_source_file,date_offset_days,surface_agrees,round_agrees,tournament_agrees,best_of_agrees,review_status,review_notes
20170714-M-Wimbledon-SF-Marin_Cilic-Sam_Querrey,2017-07-14,Wimbledon,SF,Grass,5,Marin Cilic | Sam Querrey,matched,exact_pair_date_unique,1,sackmann:atp:tour:2017-540:224,sackmann:atp:tour:2017-540:224,2017-07-03,Wimbledon,SF,Grass,5,Marin Cilic | Sam Querrey,atp/atp_matches_2017.csv,11,true,true,true,true,,
20250511-M-Rome_Masters-R32-Holger_Rune-Corentin_Moutet,2025-05-11,Rome Masters,R32,Clay,3,Holger Rune | Corentin Moutet,matched,exact_pair_date_unique,1,sackmann:atp:tour:2025-0416:345,sackmann:atp:tour:2025-0416:345,2025-05-07,Rome Masters,R32,Clay,3,Corentin Moutet | Holger Rune,atp/atp_matches_2025.csv,4,true,true,true,true,,
19750703-M-Wimbledon-SF-Tony_Roche-Arthur_Ashe,1975-07-03,Wimbledon,SF,Grass,5,Tony Roche | Arthur Ashe,matched,exact_pair_date_tournament_round_unique,2,sackmann:atp:tour:1975-350:58 | sackmann:atp:tour:1975-540:126,sackmann:atp:tour:1975-540:126,1975-06-23,Wimbledon,SF,Grass,5,Arthur Ashe | Tony Roche,atp/atp_matches_1975.csv,10,true,true,true,true,,
19901112-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,1990-11-12,Tour Finals,RR,Hard,3,Pete Sampras | Andre Agassi,matched,exact_pair_date_unique,1,sackmann:atp:tour:1990-605:13,sackmann:atp:tour:1990-605:13,1990-11-12,Tour Finals,RR,Carpet,3,Andre Agassi | Pete Sampras,atp/atp_matches_1990.csv,0,false,true,true,true,,
20240906-M-US_Open-SF-Jack_Draper-Jannik_Sinner,2024-09-06,US Open,SF,Hard,5,Jack Draper | Jannik Sinner,matched,exact_pair_date_unique,1,sackmann:atp:tour:2024-560:224,sackmann:atp:tour:2024-560:224,2024-08-26,Us Open,SF,Hard,5,Jannik Sinner | Jack Draper,atp/atp_matches_2024.csv,11,true,true,true,true,,
20220516-W-Rabat-R32-Catherine_Harrison-Kristina_Kucova,2022-05-16,Rabat,R32,Clay,3,Catherine Harrison | Kristina Kucova,matched,exact_pair_date_unique,1,sackmann:wta:tour:2022-1005:272,sackmann:wta:tour:2022-1005:272,2022-05-16,Rabat,R32,Clay,3,Kristina Kucova | Catherine Harrison,wta/wta_matches_2022.csv,0,true,true,true,true,,
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek,1982-12-13,Australian Open,F,Grass,5,Steve Denton | Johan Kriek,matched,exact_pair_date_unique,1,sackmann:atp:tour:1982-580:95,sackmann:atp:tour:1982-580:95,1982-12-02,Australian Open,F,Grass,5,Johan Kriek | Steve Denton,atp/atp_matches_1982.csv,11,true,true,true,true,,
20190306-W-Indian_Wells-R128-Caty_Mcnally-Bernarda_Pera,2019-03-06,Indian Wells,R128,Hard,3,Caty Mcnally | Bernarda Pera,matched,exact_pair_date_unique,1,sackmann:wta:tour:2019-M006:195,sackmann:wta:tour:2019-M006:195,2019-03-04,Indian Wells,R128,Hard,3,Bernarda Pera | Caty Mcnally,wta/wta_matches_2019.csv,2,true,true,true,true,,
20220210-W-St_Petersburg-R16-Jelena_Ostapenko-Andrea_Petkovic,2022-02-10,St Petersburg,R16,Hard,3,Jelena Ostapenko | Andrea Petkovic,matched,exact_pair_date_unique,1,sackmann:wta:tour:2022-1086:289,sackmann:wta:tour:2022-1086:289,2022-02-07,St. Petersburg,R16,Hard,3,Jelena Ostapenko | Andrea Petkovic,wta/wta_matches_2022.csv,3,true,true,true,true,,
20200110-W-Shenzhen-SF-Elena_Rybakina-Kristyna_Pliskova,2020-01-10,Shenzhen,SF,Hard,3,Elena Rybakina | Kristyna Pliskova,matched,exact_pair_date_unique,1,sackmann:wta:tour:2020-1063:298,sackmann:wta:tour:2020-1063:298,2020-01-06,Shenzhen,SF,Hard,3,Elena Rybakina | Kristyna Pliskova,wta/wta_matches_2020.csv,4,true,true,true,true,,
20150502-W-ITF_Charlottesville-SF-Elizaveta_Ianchuk-Allie_Kiick,2015-05-02,ITF Charlottesville,SF,Clay,3,Elizaveta Ianchuk | Allie Kiick,matched,exact_pair_date_unique,1,sackmann:wta:qual_itf:2015-W-C50-USA-03A-2015:30,sackmann:wta:qual_itf:2015-W-C50-USA-03A-2015:30,2015-04-27,Charlottesville VA $50K,SF,Clay,3,Allie Kiick | Elizaveta Ianchuk,wta/wta_matches_qual_itf_2015.csv,5,true,true,false,true,,
20231109-W-BJK_Cup_Finals-RR-Magda_Linette-Leylah_Fernandez,2023-11-09,BJK Cup Finals,RR,Hard,3,Magda Linette | Leylah Fernandez,matched,exact_pair_date_unique,1,sackmann:wta:tour:2023-W-FC-2023-FLS:116,sackmann:wta:tour:2023-W-FC-2023-FLS:116,2023-11-07,BJK Cup Finals,RR,Hard,3,Leylah Fernandez | Magda Linette,wta/wta_matches_2023.csv,2,true,true,true,true,,
20240829-M-US_Open-R64-Otto_Virtanen-Alex_De_Minaur,2024-08-29,US Open,R64,Hard,5,Otto Virtanen | Alex De Minaur,matched,exact_pair_date_unique,1,sackmann:atp:tour:2024-560:176,sackmann:atp:tour:2024-560:176,2024-08-26,Us Open,R64,Hard,5,Alex De Minaur | Otto Virtanen,atp/atp_matches_2024.csv,3,true,true,true,true,,
20051118-M-Masters_Cup-RR-Gaston_Gaudio-Fernando_Gonzalez,2005-11-18,Masters Cup,RR,Hard,3,Gaston Gaudio | Fernando Gonzalez,matched,exact_pair_date_unique,1,sackmann:atp:tour:2005-605:14,sackmann:atp:tour:2005-605:14,2005-11-14,Masters Cup,RR,Carpet,3,Gaston Gaudio | Fernando Gonzalez,atp/atp_matches_2005.csv,4,false,true,true,true,,
20240419-W-Stuttgart-QF-Coco_Gauff-Marta_Kostyuk,2024-04-19,Stuttgart,QF,Clay,3,Coco Gauff | Marta Kostyuk,matched,exact_pair_date_unique,1,sackmann:wta:tour:2024-1051:295,sackmann:wta:tour:2024-1051:295,2024-04-15,Stuttgart,QF,Clay,3,Marta Kostyuk | Coco Gauff,wta/wta_matches_2024.csv,4,true,true,true,true,,
20180508-M-Madrid_Masters-R32-Grigor_Dimitrov-Milos_Raonic,2018-05-08,Madrid Masters,R32,Clay,3,Grigor Dimitrov | Milos Raonic,matched,exact_pair_date_unique,1,sackmann:atp:tour:2018-M021:274,sackmann:atp:tour:2018-M021:274,2018-05-07,Madrid Masters,R32,Clay,3,Milos Raonic | Grigor Dimitrov,atp/atp_matches_2018.csv,1,true,true,true,true,,
20190205-M-Montpellier-R32-Hubert_Hurkacz-Ernests_Gulbis,2019-02-05,Montpellier,R32,Hard,3,Hubert Hurkacz | Ernests Gulbis,matched,exact_pair_date_unique,1,sackmann:atp:tour:2019-0375:283,sackmann:atp:tour:2019-0375:283,2019-02-04,Montpellier,R32,Hard,3,Ernests Gulbis | Hubert Hurkacz,atp/atp_matches_2019.csv,1,true,true,true,true,,
20150629-W-Wimbledon-R128-Ana_Ivanovic-Yi_Fan_Xu,2015-06-29,Wimbledon,R128,Grass,3,Ana Ivanovic | Yi Fan Xu,matched,exact_pair_date_unique,1,sackmann:wta:tour:2015-W-SL-GBR-01A-2015:16,sackmann:wta:tour:2015-W-SL-GBR-01A-2015:16,2015-06-29,Wimbledon,R128,Grass,3,Ana Ivanovic | Yi Fan Xu,wta/wta_matches_2015.csv,0,true,true,true,true,,
20171021-M-Stockholm-SF-Juan_Martin_Del_Potro-Fernando_Verdasco,2017-10-21,Stockholm,SF,Hard,3,Juan Martin Del Potro | Fernando Verdasco,matched,exact_pair_date_unique,1,sackmann:atp:tour:2017-0429:298,sackmann:atp:tour:2017-0429:298,2017-10-16,Stockholm,SF,Hard,3,Juan Martin del Potro | Fernando Verdasco,atp/atp_matches_2017.csv,5,true,true,true,true,,
20221018-W-Guadalajara-R64-Eugenie_Bouchard-Kayla_Day,2022-10-18,Guadalajara,R64,Hard,3,Eugenie Bouchard | Kayla Day,matched,exact_pair_date_unique,1,sackmann:wta:tour:2022-2075:251,sackmann:wta:tour:2022-2075:251,2022-10-17,Guadalajara 2,R64,Hard,3,Eugenie Bouchard | Kayla Day,wta/wta_matches_2022.csv,1,true,true,false,true,,
20220109-M-Melbourne-F-Maxime_Cressy-Rafael_Nadal,2022-01-09,Melbourne,F,Hard,3,Maxime Cressy | Rafael Nadal,matched,exact_pair_date_unique,1,sackmann:atp:tour:2022-9665:300,sackmann:atp:tour:2022-9665:300,2022-01-03,Melbourne,F,Hard,3,Rafael Nadal | Maxime Cressy,atp/atp_matches_2022.csv,6,true,true,true,true,,
20130407-W-Charleston-F-Serena_Williams-Jelena_Jankovic,2013-04-07,Charleston,F,Clay,3,Serena Williams | Jelena Jankovic,matched,exact_pair_date_unique,1,sackmann:wta:tour:2013-W-PR-USA-01A-2013:55,sackmann:wta:tour:2013-W-PR-USA-01A-2013:55,2013-04-01,Charleston,F,Clay,3,Serena Williams | Jelena Jankovic,wta/wta_matches_2013.csv,6,true,true,true,true,,
