mcp_match_id;mcp_date;mcp_tournament;mcp_round;mcp_surface;mcp_best_of;mcp_players;status;method;candidate_count;candidate_context_ids;context_match_id;context_tournament_date;context_tournament;context_round;context_surface;context_best_of;context_players;context_source_file;date_offset_days;surface_agrees;round_agrees;tournament_agrees;best_of_agrees;review_status;review_notes
20170714-M-Wimbledon-SF-Marin_Cilic-Sam_Querrey;14/07/2017;Wimbledon;SF;Grass;5;Marin Cilic | Sam Querrey;matched;exact_pair_date_unique;1;sackmann:atp:tour:2017-540:224;sackmann:atp:tour:2017-540:224;03/07/2017;Wimbledon;SF;Grass;5;Marin Cilic | Sam Querrey;atp/atp_matches_2017.csv;11;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20250511-M-Rome_Masters-R32-Holger_Rune-Corentin_Moutet;11/05/2025;Rome Masters;R32;Clay;3;Holger Rune | Corentin Moutet;matched;exact_pair_date_unique;1;sackmann:atp:tour:2025-0416:345;sackmann:atp:tour:2025-0416:345;07/05/2025;Rome Masters;R32;Clay;3;Corentin Moutet | Holger Rune;atp/atp_matches_2025.csv;4;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
19750703-M-Wimbledon-SF-Tony_Roche-Arthur_Ashe;03/07/1975;Wimbledon;SF;Grass;5;Tony Roche | Arthur Ashe;matched;exact_pair_date_tournament_round_unique;2;sackmann:atp:tour:1975-350:58 | sackmann:atp:tour:1975-540:126;sackmann:atp:tour:1975-540:126;23/06/1975;Wimbledon;SF;Grass;5;Arthur Ashe | Tony Roche;atp/atp_matches_1975.csv;10;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
19901112-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi;12/11/1990;Tour Finals;RR;Hard;3;Pete Sampras | Andre Agassi;matched;exact_pair_date_unique;1;sackmann:atp:tour:1990-605:13;sackmann:atp:tour:1990-605:13;12/11/1990;Tour Finals;RR;Carpet;3;Andre Agassi | Pete Sampras;atp/atp_matches_1990.csv;0;FALSO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;"Same match; MCP says Hard and context says Carpet."
20240906-M-US_Open-SF-Jack_Draper-Jannik_Sinner;06/09/2024;US Open;SF;Hard;5;Jack Draper | Jannik Sinner;matched;exact_pair_date_unique;1;sackmann:atp:tour:2024-560:224;sackmann:atp:tour:2024-560:224;26/08/2024;Us Open;SF;Hard;5;Jannik Sinner | Jack Draper;atp/atp_matches_2024.csv;11;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20220516-W-Rabat-R32-Catherine_Harrison-Kristina_Kucova;16/05/2022;Rabat;R32;Clay;3;Catherine Harrison | Kristina Kucova;matched;exact_pair_date_unique;1;sackmann:wta:tour:2022-1005:272;sackmann:wta:tour:2022-1005:272;16/05/2022;Rabat;R32;Clay;3;Kristina Kucova | Catherine Harrison;wta/wta_matches_2022.csv;0;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek;13/12/1982;Australian Open;F;Grass;5;Steve Denton | Johan Kriek;matched;exact_pair_date_unique;1;sackmann:atp:tour:1982-580:95;sackmann:atp:tour:1982-580:95;02/12/1982;Australian Open;F;Grass;5;Johan Kriek | Steve Denton;atp/atp_matches_1982.csv;11;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20190306-W-Indian_Wells-R128-Caty_Mcnally-Bernarda_Pera;06/03/2019;Indian Wells;R128;Hard;3;Caty Mcnally | Bernarda Pera;matched;exact_pair_date_unique;1;sackmann:wta:tour:2019-M006:195;sackmann:wta:tour:2019-M006:195;04/03/2019;Indian Wells;R128;Hard;3;Bernarda Pera | Caty Mcnally;wta/wta_matches_2019.csv;2;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20220210-W-St_Petersburg-R16-Jelena_Ostapenko-Andrea_Petkovic;10/02/2022;St Petersburg;R16;Hard;3;Jelena Ostapenko | Andrea Petkovic;matched;exact_pair_date_unique;1;sackmann:wta:tour:2022-1086:289;sackmann:wta:tour:2022-1086:289;07/02/2022;St. Petersburg;R16;Hard;3;Jelena Ostapenko | Andrea Petkovic;wta/wta_matches_2022.csv;3;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
20200110-W-Shenzhen-SF-Elena_Rybakina-Kristyna_Pliskova;10/01/2020;Shenzhen;SF;Hard;3;Elena Rybakina | Kristyna Pliskova;matched;exact_pair_date_unique;1;sackmann:wta:tour:2020-1063:298;sackmann:wta:tour:2020-1063:298;06/01/2020;Shenzhen;SF;Hard;3;Elena Rybakina | Kristyna Pliskova;wta/wta_matches_2020.csv;4;VERDADEIRO;VERDADEIRO;VERDADEIRO;VERDADEIRO;confirmed;
